,title,gross_worldwide,movie_id,year
403,Pocahontas,"$346,079,773",0114148,1995
404,How the Grinch Stole Christmas,"$345,141,403",0170016,2000
405,Star Trek Beyond,"$343,471,816",2660888,2016
406,Alvin and the Chipmunks: Chipwrecked,"$342,695,435",1615918,2011
407,Wanted,"$342,463,063",0493464,2008
408,The Flintstones,"$341,631,208",0109813,1994
409,A Quiet Place,"$340,949,169",6644200,2018
410,Enchanted,"$340,487,652",0461770,2007
411,Over the Hedge,"$339,795,890",0327084,2006
412,300: Rise of an Empire,"$337,580,051",1253863,2014
413,Batman Forever,"$336,567,531",0112462,1995
414,Prince of Persia: The Sands of Time,"$336,365,676",0473075,2010
415,Back to the Future Part II,"$335,973,020",0096874,1989
416,The Curious Case of Benjamin Button,"$335,802,786",0421715,2008
417,Journey 2: The Mysterious Island,"$335,260,290",1397514,2012
418,The Rock,"$335,062,621",0117500,1996
419,The Great Wall,"$334,933,831",2034800,2016
420,Now You See Me 2,"$334,897,606",3110958,2016
421,Fantastic Four,"$333,535,934",1502712,2015
422,Indiana Jones and the Temple of Doom,"$333,107,271",0087469,1984
423,Tomorrow Never Dies,"$333,011,068",0120347,1997
424,The Good Dinosaur,"$332,207,671",1979388,2015
425,22 Jump Street,"$331,333,876",2294449,2014
426,Meet the Parents,"$330,444,045",0212338,2000
427,Who Framed Roger Rabbit,"$329,803,958",0096438,1988
428,Black Swan,"$329,398,046",0947798,2010
429,The Perfect Storm,"$328,718,434",0177971,2000
430,Crocodile Dundee,"$328,203,506",0090555,1986
431,Se7en,"$327,333,559",0114369,1995
432,John Wick: Chapter 3 - Parabellum,"$326,709,727",6146586,2019
433,The Devil Wears Prada,"$326,705,902",0458352,2006
434,Taken 3,"$326,479,141",2446042,2014
435,The Hunchback of Notre Dame,"$325,338,851",0116583,1996
436,A Christmas Carol,"$325,286,646",7686464,2019
437,The SpongeBob Movie: Sponge Out of Water,"$325,186,032",2279373,2015
438,Schindler's List,"$322,287,794",0108052,1993
439,Megamind,"$321,885,765",1001526,2010
440,Green Book,"$321,752,656",6966692,2018
441,Lethal Weapon 3,"$321,731,527",0104714,1992
442,The Ugly Truth,"$321,682,600",1142988,2009
443,Robin Hood,"$321,669,741",0955308,2010
444,Inglourious Basterds,"$321,455,689",0361748,2009
445,101 Dalmatians,"$320,689,294",0115433,1996
446,The Conjuring 2,"$320,392,818",3065204,2016
447,Fatal Attraction,"$320,145,693",0093010,1987
448,The Last Airbender,"$319,713,881",0938283,2010
449,The Conjuring,"$319,501,756",1457767,2013
450,The Proposal,"$317,375,031",1041829,2009
451,A Beautiful Mind,"$316,791,257",0268978,2001
452,Beverly Hills Cop,"$316,360,478",0086960,1984
453,Air Force One,"$315,156,409",0118571,1997
454,The Expendables 2,"$314,975,955",1764651,2012
455,Chicken Little,"$314,432,837",0371606,2005
456,As Good as It Gets,"$314,178,011",0119822,1997
457,The Polar Express,"$313,500,433",0338348,2004
458,Maze Runner: The Scorch Trials,"$312,296,056",4046784,2015
459,Resident Evil: The Final Chapter,"$312,242,626",2592614,2016
460,Austin Powers: The Spy Who Shagged Me,"$312,016,928",0145660,1999
461,The Lego Batman Movie,"$311,950,384",4116284,2017
462,Ocean's Thirteen,"$311,312,624",0496806,2007
463,Little Fockers,"$310,650,585",0970866,2010
464,Bolt,"$309,979,994",0397892,2008
465,Ransom,"$309,492,681",0117438,1996
466,Runaway Bride,"$309,460,292",0163187,1999
467,Knives Out,"$309,232,797",8946378,2019
468,The Blind Side,"$309,208,309",0878804,2009
469,The Ex-File 3: The Return of The Exes,"$307,592,427",7830888,2017
470,The Fault in Our Stars,"$307,166,834",2582846,2014
471,The Pursuit of Happyness,"$307,127,625",0454921,2006
472,Rise of the Guardians,"$306,941,670",1446192,2012
473,Close Encounters of the Third Kind,"$306,899,494",0075860,1977
474,Skyscraper,"$306,880,955",5758778,2018
475,Chicago,"$306,776,732",0299658,2002
476,Sonic the Hedgehog,"$306,766,470",3794354,2020
477,Annabelle: Creation,"$306,515,884",5140878,2017
478,Wonder,"$305,937,718",2543472,2017
479,A Good Day to Die Hard,"$304,654,182",1606378,2013
480,Mulan,"$304,320,254",4566758,2020
481,Dangal,"$303,723,636",5074352,2016
482,Passengers,"$303,144,152",1355644,2016
483,Battleship,"$303,025,485",1440129,2012
484,Liar Liar,"$302,710,615",0119528,1997
485,G.I. Joe: The Rise of Cobra,"$302,469,017",1046173,2009
486,Wrath of the Titans,"$301,970,083",1646987,2012
487,Fantastic 4: Rise of the Silver Surfer,"$301,913,131",0486576,2007
488,Hook,"$300,854,823",0102057,1991
489,Rocky IV,"$300,473,716",0089927,1985
490,Superman,"$300,451,667",0078346,1978
491,Rambo: First Blood Part II,"$300,400,432",0089880,1985
492,Resident Evil: Afterlife,"$300,228,084",1220634,2010
493,Van Helsing,"$300,157,638",5197820,2016
494,Stuart Little,"$300,135,367",0164912,1999
495,Beverly Hills Cop II,"$299,965,036",0092644,1987
496,Alice Through the Looking Glass,"$299,457,024",2567026,2016
497,My Best Friend's Wedding,"$299,288,605",0119738,1997
498,Real Steel,"$299,268,508",0433035,2011
499,Horton Hears a Who!,"$298,572,799",0451079,2008
500,Ocean's 8,"$297,718,711",5164214,2018
501,The Divergent Series: Insurgent,"$297,002,527",2908446,2015
502,Look Who's Talking,"$296,999,813",0097778,1989
503,Austin Powers in Goldmember,"$296,938,801",0295178,2002
504,Miss Peregrine's Home for Peculiar Children,"$296,482,446",1935859,2016
505,X-Men,"$296,339,528",0120903,2000
506,Ghostbusters,"$296,320,473",0087332,1984
507,Ferdinand,"$296,069,199",3411444,2017
508,Shutter Island,"$294,804,195",1130884,2010
509,Doctor Dolittle,"$294,456,605",0118998,1998
510,Bee Movie,"$293,514,336",0389790,2007
