,title,gross_worldwide
428,Black Swan,"$329,398,046"
429,The Perfect Storm,"$328,718,434"
430,Crocodile Dundee,"$328,203,506"
431,Se7en,"$327,333,559"
432,John Wick: Chapter 3 - Parabellum,"$326,709,727"
433,The Devil Wears Prada,"$326,705,902"
434,Taken 3,"$326,479,141"
435,The Hunchback of Notre Dame,"$325,338,851"
436,A Christmas Carol,"$325,286,646"
437,The SpongeBob Movie: Sponge Out of Water,"$325,186,032"
438,Schindler's List,"$322,287,794"
439,Megamind,"$321,885,765"
440,Green Book,"$321,752,656"
441,Lethal Weapon 3,"$321,731,527"
442,The Ugly Truth,"$321,682,600"
443,Robin Hood,"$321,669,741"
444,Inglourious Basterds,"$321,455,689"
445,101 Dalmatians,"$320,689,294"
446,The Conjuring 2,"$320,392,818"
447,Fatal Attraction,"$320,145,693"
448,The Last Airbender,"$319,713,881"
449,The Conjuring,"$319,501,756"
450,The Proposal,"$317,375,031"
451,A Beautiful Mind,"$316,791,257"
452,Beverly Hills Cop,"$316,360,478"
453,Air Force One,"$315,156,409"
454,The Expendables 2,"$314,975,955"
455,Chicken Little,"$314,432,837"
456,As Good as It Gets,"$314,178,011"
457,The Polar Express,"$313,500,433"
458,Maze Runner: The Scorch Trials,"$312,296,056"
459,Resident Evil: The Final Chapter,"$312,242,626"
460,Austin Powers: The Spy Who Shagged Me,"$312,016,928"
461,The Lego Batman Movie,"$311,950,384"
462,Ocean's Thirteen,"$311,312,624"
463,Little Fockers,"$310,650,585"
464,Bolt,"$309,979,994"
465,Ransom,"$309,492,681"
466,Runaway Bride,"$309,460,292"
467,Knives Out,"$309,232,797"
468,The Blind Side,"$309,208,309"
469,The Ex-File 3: The Return of The Exes,"$307,592,427"
470,The Fault in Our Stars,"$307,166,834"
471,The Pursuit of Happyness,"$307,127,625"
472,Rise of the Guardians,"$306,941,670"
473,Close Encounters of the Third Kind,"$306,899,494"
474,Skyscraper,"$306,880,955"
475,Chicago,"$306,776,732"
476,Sonic the Hedgehog,"$306,766,470"
477,Annabelle: Creation,"$306,515,884"
478,Wonder,"$305,937,718"
479,A Good Day to Die Hard,"$304,654,182"
480,Mulan,"$304,320,254"
481,Dangal,"$303,723,636"
482,Passengers,"$303,144,152"
483,Battleship,"$303,025,485"
484,Liar Liar,"$302,710,615"
485,G.I. Joe: The Rise of Cobra,"$302,469,017"
486,Wrath of the Titans,"$301,970,083"
487,Fantastic 4: Rise of the Silver Surfer,"$301,913,131"
488,Hook,"$300,854,823"
489,Rocky IV,"$300,473,716"
490,Superman,"$300,451,667"
491,Rambo: First Blood Part II,"$300,400,432"
492,Resident Evil: Afterlife,"$300,228,084"
493,Van Helsing,"$300,157,638"
494,Stuart Little,"$300,135,367"
495,Beverly Hills Cop II,"$299,965,036"
496,Alice Through the Looking Glass,"$299,457,024"
497,My Best Friend's Wedding,"$299,288,605"
498,Real Steel,"$299,268,508"
499,Horton Hears a Who!,"$298,572,799"
500,Ocean's 8,"$297,718,711"
501,The Divergent Series: Insurgent,"$297,002,527"
502,Look Who's Talking,"$296,999,813"
503,Austin Powers in Goldmember,"$296,938,801"
504,Miss Peregrine's Home for Peculiar Children,"$296,482,446"
505,X-Men,"$296,339,528"
506,Ghostbusters,"$296,320,473"
507,Ferdinand,"$296,069,199"
508,Shutter Island,"$294,804,195"
509,Doctor Dolittle,"$294,456,605"
510,Bee Movie,"$293,514,336"
511,Salt,"$293,503,354"
512,G-Force,"$292,817,841"
513,The Departed,"$291,465,034"
514,What Lies Beneath,"$291,420,351"
515,Pacific Rim: Uprising,"$290,930,148"
516,The Bourne Supremacy,"$290,835,269"
517,Sex and the City 2,"$290,745,055"
518,Shakespeare in Love,"$289,317,794"
519,Divergent,"$288,885,818"
520,Coming to America,"$288,752,301"
521,Wedding Crashers,"$288,467,645"
522,Bridesmaids,"$288,383,523"
523,Maze Runner: The Death Cure,"$288,175,335"
524,Casper,"$287,928,194"
525,American Pie 2,"$287,553,595"
526,Pitch Perfect 2,"$287,144,079"
527,The Green Mile,"$286,801,374"
