,Topic_0,Topic_1,Topic_2,title,Order,genres,rating
123,0.21458059549331665,0.4160709083080292,0.36934855580329895,Moana,"1,2,0","['Musical', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation']",7.6
124,0.2087608426809311,0.5256114602088928,0.26562774181365967,Forrest Gump,"1,2,0","['Romance', 'Drama']",8.8
125,0.6678758263587952,0.11724712699651718,0.21487703919410706,Mission: Impossible - Rogue Nation,"0,2,1","['Thriller', 'Adventure', 'Action']",7.4
126,0.42686009407043457,0.5387094020843506,0.03443046659231186,Doctor Strange,"1,0,2","['Fantasy', 'Sci', 'Adventure', 'Action']",7.5
127,0.04953122138977051,0.5144779086112976,0.4359908699989319,The Sixth Sense,"1,2,0","['Mystery', 'Thriller', 'Drama']",8.1
128,0.020796773955225945,0.6117005944252014,0.3675025701522827,Man of Steel,"1,2,0","['Sci', 'Adventure', 'Action']",7.0
129,0.29213565587997437,0.14586016535758972,0.5620042085647583,Ice Age: The Meltdown,"2,0,1","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation']",6.8
130,0.19898663461208344,0.33005550503730774,0.4709579050540924,Kung Fu Panda 2,"2,1,0","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation', 'Action']",7.2
131,0.43247854709625244,0.530937910079956,0.03658348321914673,The Hunger Games: Mockingjay - Part 2,"1,0,2","['Thriller', 'Sci', 'Adventure', 'Action']",6.5
132,0.2725357711315155,0.4324266314506531,0.29503753781318665,Justice League,"1,2,0","['Fantasy', 'Sci', 'Adventure', 'Action']",6.3
133,0.3060148358345032,0.3149336576461792,0.3790515065193176,Big Hero 6,"2,1,0","['Adventure', 'Family', 'Sci', 'Animation', 'Action']",7.8
134,0.18340325355529785,0.32290828227996826,0.4936884343624115,Fantastic Beasts: The Crimes of Grindelwald,"2,1,0","['Family', 'Adventure', 'Fantasy']",6.6
135,0.6752065420150757,0.3003831207752228,0.024410273879766464,Pirates of the Caribbean: The Curse of the Black Pearl,"0,1,2","['Fantasy', 'Adventure', 'Action']",8.0
136,0.4976096451282501,0.2673928737640381,0.2349974811077118,Star Wars: Episode II - Attack of the Clones,"0,1,2","['Fantasy', 'Sci', 'Adventure', 'Action']",6.5
137,0.6006460189819336,0.370281457901001,0.029072551056742668,Thor: The Dark World,"0,1,2","['Fantasy', 'Adventure', 'Action']",6.9
138,0.1850559562444687,0.2507777214050293,0.5641663074493408,Sing,"2,1,0","['Musical', 'Family', 'Comedy', 'Animation']",7.1
139,0.29941752552986145,0.40773889422416687,0.29284363985061646,"Monsters, Inc.","1,0,2","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation']",8.0
140,0.49526309967041016,0.15926937758922577,0.3454675078392029,Kung Fu Panda,"0,2,1","['Adventure', 'Comedy', 'Family', 'Animation', 'Action']",7.5
141,0.391364723443985,0.3479543924331665,0.26068082451820374,The Incredibles,"0,1,2","['Family', 'Adventure', 'Action', 'Animation']",8.0
142,0.5589882731437683,0.18553383648395538,0.2554779648780823,The Martian,"0,2,1","['Sci', 'Adventure', 'Drama']",8.0
143,0.2779209613800049,0.30301472544670105,0.4190642833709717,Hancock,"2,1,0","['Fantasy', 'Action']",6.4
144,0.4404298961162567,0.336148202419281,0.2234218716621399,Fast Five,"0,1,2","['Crime', 'Thriller', 'Adventure', 'Action']",7.3
145,0.4754842221736908,0.3304978311061859,0.1940179318189621,Men in Black 3,"0,1,2","['Comedy', 'Sci', 'Adventure', 'Action']",6.8
146,0.3949049115180969,0.2586597502231598,0.3464352786540985,Iron Man 2,"0,2,1","['Sci', 'Adventure', 'Action']",7.0
147,0.0431431420147419,0.6782478094100952,0.27860912680625916,Ratatouille,"1,2,0","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation']",8.0
